Prefix	Species name
ENSPCL	Phasianus colchicus (Ring-necked pheasant)
ENSTGU	Taeniopygia guttata (Zebra finch)
ENSACU	Athene cunicularia (Burrowing owl)
ENSCAB	Chelonoidis abingdonii (Abingdon island giant tortoise)
ENSSFA	Salarias fasciatus (Jewelled blenny)
ENSCHO	Choloepus hoffmanni (Sloth)
ENSLBE	Labrus bergylta (Ballan wrasse)
ENSSTU	Salmo trutta (Brown trout)
ENSDLA	Dicentrarchus labrax (European seabass)
ENSCHA	Scleropages formosus (Asian bonytongue)
ENSMLU	Myotis lucifugus (Microbat)
ENSNVI	Neovison vison (American mink)
ENSLOC	Lepisosteus oculatus (Spotted gar)
ENSVKK	Varanus komodoensis (Komodo dragon)
ENSGFO	Geospiza fortis (Medium ground-finch)
ENSMLE	Mandrillus leucophaeus (Drill)
ENSOPR	Ochotona princeps (Pika)
ENSCGO	Cottoperca gobio (Channel bull blenny)
ENSACO	Amazona collaria (Yellow-billed parrot)
ENSMUN	Melopsittacus undulatus (Budgerigar)
ENSPLA	Poecilia latipinna (Sailfin molly)
ENSUMA	Ursus maritimus (Polar bear)
ENSMZE	Maylandia zebra (Zebra mbuna)
ENSABR	Anser brachyrhynchus (Pink-footed goose)
ENSOAN	Ornithorhynchus anatinus (Platypus)
ENSPEM	Peromyscus maniculatus bairdii (Northern American deer mouse)
ENSNPE	Nothoprocta perdicaria (Chilean tinamou)
ENS	Homo sapiens (Human)
ENSGAC	Gasterosteus aculeatus (Stickleback)
ENSIPU	Ictalurus punctatus (Channel catfish)
ENSCAP	Cavia aperea (Brazilian guinea pig)
ENSMPU	Mustela putorius furo (Ferret)
ENSRBI	Rhinopithecus bieti (Black snub-nosed monkey)
ENSMGA	Meleagris gallopavo (Turkey)
ENSXCO	Xiphophorus couchianus (Monterrey platyfish)
ENSPTE	Piliocolobus tephrosceles (Ugandan red Colobus)
ENSGWI	Gouania willdenowi (Blunt-snouted clingfish)
ENSAMX	Astyanax mexicanus (Mexican tetra)
ENSNNA	Naja naja (Indian cobra)
ENSUPA	Urocitellus parryii (Arctic ground squirrel)
ENSTSY	Carlito syrichta (Tarsier)
ENSSSC	Sus scrofa (Pig - Bamei)
ENSCPG	Calidris pygmaea (Spoon-billed sandpiper)
ENSPKI	Paramormyrops kingsleyae (Paramormyrops kingsleyae)
ENSEEE	Electrophorus electricus (Electric eel)
ENSCPO	Cavia porcellus (Guinea Pig)
ENSCCR	Cyprinus carpio (Common carp german mirror)
ENSMVI	Manacus vitellinus (Golden-collared manakin)
ENSBIX	Bos indicus x Bos taurus (Hybrid - Bos Indicus)
ENSAMX	Astyanax mexicanus (Pachon cavefish)
ENSHCO	Hippocampus comes (Tiger tail seahorse)
ENSSBO	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
ENSCJA	Callithrix jacchus (Marmoset)
ENSGAF	Gambusia affinis (Western mosquitofish)
ENSSDA	Spermophilus dauricus (Daurian ground squirrel)
ENSUAM	Ursus americanus (American black bear)
ENSPST	Pavo cristatus (Indian peafowl)
ENSSLD	Seriola lalandi dorsalis (Yellowtail amberjack)
ENSPCI	Phascolarctos cinereus (Koala)
ENSCPI	Chrysemys picta bellii (Painted turtle)
ENSPLO	Panthera leo (Lion)
ENSCGR	Cricetulus griseus (Chinese hamster CriGri)
ENSOMY	Oncorhynchus mykiss (Rainbow trout)
ENSVPA	Vicugna pacos (Alpaca)
ENSAOC	Amphiprion ocellaris (Clown anemonefish)
ENSSSA	Salmo salar (Atlantic salmon)
ENSSSC	Sus scrofa (Pig - Pietrain)
ENSLCR	Larimichthys crocea (Large yellow croaker)
MGP_NZOHlLtJ_	Mus musculus (Mouse NZO/HlLtJ)
ENSPME	Poecilia mexicana (Shortfin molly)
ENSCHI	Capra hircus (Goat (black bengal))
ENSDNV	Dromaius novaehollandiae (Emu)
ENSGAG	Gopherus agassizii (Agassiz's desert tortoise)
ENSFHE	Fundulus heteroclitus (Mummichog)
ENSCAT	Cercocebus atys (Sooty mangabey)
ENSFCA	Felis catus (Cat)
ENSAPL	Anas platyrhynchos platyrhynchos (Duck)
ENSSLU	Sander lucioperca (Pike-perch)
ENSCHA	Clupea harengus (Atlantic herring)
ENSMAU	Mesocricetus auratus (Golden Hamster)
ENSOJA	Oryzias javanicus (Javanese ricefish)
ENSEBU	Eptatretus burgeri (Hagfish)
ENSBTA	Bos taurus (Cow)
ENSOKI	Oncorhynchus kisutch (Coho salmon)
ENSSSC	Sus scrofa (Pig - Wuzhishan)
ENSPMJ	Parus major (Great Tit)
ENSLCN	Lynx canadensis (Canada lynx)
ENSOAR	Ovis aries (Sheep)
MGP_WSBEiJ_	Mus musculus domesticus (Mouse WSB/EiJ)
ENSSSC	Sus scrofa (Pig - Hampshire)
ENSCIN	Ciona intestinalis
ENSBJA	Buteo japonicus (Eastern buzzard)
ENSMMO	Mola mola (Ocean sunfish)
ENSZCA	Zalophus californianus (California sea lion)
ENSSCU	Struthio camelus australis (African ostrich)
ENSCGR	Cricetulus griseus (Chinese hamster CHOK1GS)
ENSCSAV	Ciona savignyi
ENSCEL	Caenorhabditis elegans (Caenorhabditis elegans)
ENSRFE	Rhinolophus ferrumequinum (Greater horseshoe bat)
ENSCCR	Cyprinus carpio (Common carp hebao red)
ENSMOC	Microtus ochrogaster (Prairie vole)
ENSFTI	Falco tinnunculus (Common kestrel)
ENSCLM	Cyclopterus lumpus (Lumpfish)
ENSCCR	Cyprinus carpio (Common carp)
ENSELU	Esox lucius (Northern pike)
ENSACI	Amphilophus citrinellus (Midas cichlid)
ENSBMU	Bos mutus (Wild yak)
ENSNFU	Nothobranchius furzeri (Turquoise killifish)
ENSRNO	Rattus norvegicus (Rat)
ENSEEU	Erinaceus europaeus (Hedgehog)
ENSNGA	Nannospalax galili (Upper Galilee mountains blind mole rat)
ENSCSE	Cynoglossus semilaevis (Tongue sole)
ENSSGR	Sinocyclocheilus grahami (Golden-line barbel)
ENSMUG	Meriones unguiculatus (Mongolian gerbil)
ENSSSC	Sus scrofa (Pig)
ENSLAC	Latimeria chalumnae (Coelacanth)
ENSPCE	Pelusios castaneus (West African mud turtle)
ENSSSC	Sus scrofa (Pig USMARC)
ENSCCR	Cyprinus carpio (Common carp huanghe)
ENSJHY	Junco hyemalis (Dark-eyed junco)
ENSTRU	Takifugu rubripes (Fugu)
ENSMEU	Notamacropus eugenii (Wallaby)
ENSETE	Echinops telfairi (Lesser hedgehog tenrec)
ENSBIX	Bos indicus x Bos taurus (Hybrid - Bos Taurus)
ENSPPR	Panthera pardus (Leopard)
ENSSSU	Suricata suricatta (Meerkat)
ENSMMS	Moschus moschiferus (Siberian musk deer)
MGP_C3HHeJ_	Mus musculus (Mouse C3H/HeJ)
ENSDOR	Dipodomys ordii (Kangaroo rat)
